generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,4294967450.741836,4294967450.741836,"[38, 503, 230, 13, 21, 8, 0]",543.4153019843176
1,4294967407.325973,4294967407.325973,"[41, 772, 499, 13, 2, 9, 0]",520.2022424589607
2,4294967400.014417,4294967400.014417,"[42, 290, 357, 177, 169, 8, 0]",520.5572879851354
3,4294967400.014417,4294967400.014417,"[42, 290, 357, 177, 169, 8, 0]",508.89200864555033
4,4294967400.014417,4294967400.014417,"[42, 290, 357, 177, 169, 8, 0]",525.7241047296229
5,4294967400.014417,4294967400.014417,"[42, 290, 357, 177, 169, 8, 0]",516.7838114239033
6,4294967398.435442,4294967398.435442,"[41, 134, 832, 3, 8, 3, 0]",513.3235742189823
7,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",465.2686023699714
8,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",485.0959007222808
9,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",539.3762396290844
10,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",547.7722312661193
11,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",555.5445345484501
12,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",547.9425128108919
13,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",541.0386100931868
14,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",521.7783216651377
15,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",522.8322295565831
16,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",483.93702300098295
17,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",477.07120068565507
18,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",497.411176999137
19,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",489.8211170166315
20,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",504.5688756384341
21,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",454.2725896346998
22,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",437.37570097171465
23,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",451.0780106379058
24,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",457.3569864058853
25,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",443.2351317097163
26,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",465.6018354216358
27,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",442.51591634650237
28,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",446.9256288763385
29,4294967397.703228,4294967397.703228,"[41, 237, 357, 3, 3, 8, 0]",490.875238654263
