generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,323.4523412226322,323.4523412226322,"[42, 39, 59, 67, 53, 0, 0]",105.76083376243578
1,323.4523412226322,323.4523412226322,"[42, 39, 59, 67, 53, 0, 0]",110.96088021802406
2,323.4523412226322,323.4523412226322,"[42, 39, 59, 67, 53, 0, 0]",107.73525543605317
3,323.4523412226322,323.4523412226322,"[42, 39, 59, 67, 53, 0, 0]",107.10961174114814
4,318.9431294906052,318.9431294906052,"[26, 53, 52, 180, 163, 0, 0]",107.64235076650408
5,318.9431294906052,318.9431294906052,"[26, 53, 52, 180, 163, 0, 0]",103.02249692540207
6,318.9431294906052,318.9431294906052,"[26, 53, 52, 180, 163, 0, 0]",103.31471668510159
7,316.0471180697975,316.0471180697975,"[47, 59, 51, 180, 151, 0, 0]",115.97318953287393
8,316.0471180697975,316.0471180697975,"[47, 59, 51, 180, 151, 0, 0]",107.00456716764079
9,316.0471180697975,316.0471180697975,"[47, 59, 51, 180, 151, 0, 0]",108.62476463013311
10,316.0471180697975,316.0471180697975,"[47, 59, 51, 180, 151, 0, 0]",112.00784838366658
11,316.0471180697975,316.0471180697975,"[47, 59, 51, 180, 151, 0, 0]",112.53028086469398
12,316.0471180697975,316.0471180697975,"[47, 59, 51, 180, 151, 0, 0]",113.14137763735326
13,315.1489689009473,315.1489689009473,"[58, 59, 52, 180, 131, 0, 0]",113.08194246716765
14,315.1489689009473,315.1489689009473,"[58, 59, 52, 180, 131, 0, 0]",112.69881728747323
15,315.1489689009473,315.1489689009473,"[58, 59, 52, 180, 131, 0, 0]",112.6484365412194
16,313.8899129186659,313.8899129186659,"[47, 59, 53, 17, 53, 0, 0]",117.22421023999806
17,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",121.5062252601624
18,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",116.91547304664729
19,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",112.65830159988913
20,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",109.01563503206795
21,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",105.79899854309919
22,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",111.61393182850279
23,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",111.73534888400273
24,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",113.68326230318301
25,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",109.77059476168958
26,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",106.43471570230025
27,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",111.71883408817898
28,313.24605091278545,313.24605091278545,"[54, 59, 52, 17, 53, 0, 0]",116.61843471083493
29,312.7109095838975,312.7109095838975,"[42, 59, 52, 180, 177, 0, 0]",109.39315428653097
30,312.7109095838975,312.7109095838975,"[42, 59, 52, 180, 177, 0, 0]",114.07513782729893
31,312.7109095838975,312.7109095838975,"[42, 59, 52, 180, 177, 0, 0]",107.56214000160745
32,312.55369188855775,312.55369188855775,"[58, 59, 51, 151, 119, 0, 0]",105.44678864291778
33,312.55369188855775,312.55369188855775,"[58, 59, 51, 151, 119, 0, 0]",110.22400707315764
34,312.2783627020349,312.2783627020349,"[58, 59, 52, 151, 119, 0, 0]",113.12933275094552
35,312.2783627020349,312.2783627020349,"[58, 59, 52, 151, 119, 0, 0]",118.41354929685946
36,312.2783627020349,312.2783627020349,"[58, 59, 52, 151, 119, 0, 0]",112.28213745254911
37,312.2783627020349,312.2783627020349,"[58, 59, 52, 151, 119, 0, 0]",113.78125599092328
38,312.20405136476745,312.20405136476745,"[58, 59, 62, 73, 37, 0, 0]",107.65165014672357
39,312.20405136476745,312.20405136476745,"[58, 59, 62, 73, 37, 0, 0]",113.73501520102228
40,312.20405136476745,312.20405136476745,"[58, 59, 62, 73, 37, 0, 0]",107.54007914010732
41,307.96248660844856,307.96248660844856,"[31, 59, 62, 175, 177, 0, 0]",101.69769884985716
42,307.96248660844856,307.96248660844856,"[31, 59, 62, 175, 177, 0, 0]",103.81696894204177
43,307.8950882225659,307.8950882225659,"[42, 59, 62, 180, 177, 0, 0]",103.95147361342845
44,307.8950882225659,307.8950882225659,"[42, 59, 62, 180, 177, 0, 0]",98.98033315598148
45,307.46338620176914,307.46338620176914,"[39, 59, 62, 175, 177, 0, 0]",100.67624902637208
46,307.46338620176914,307.46338620176914,"[39, 59, 62, 175, 177, 0, 0]",102.26819858457293
47,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",89.83282433972322
48,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",86.80636360305796
49,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",71.06009153726704
50,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",49.041723507622656
51,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",19.532111376444323
52,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",53.30266792989216
53,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",20.003887581402132
54,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",47.70443792344584
55,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",25.484713842385723
56,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",15.769416432784643
57,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",49.131450719997105
58,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",21.01695655897969
59,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",8.775600226052934
60,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",32.88682797165828
61,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",14.959011586444197
62,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",17.953781012152454
63,307.0819618664196,307.0819618664196,"[39, 59, 62, 180, 177, 0, 0]",13.669062171128468
64,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",8.334169030011854
65,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",17.81042228910811
66,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",18.90418326307016
67,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",9.117624563014404
68,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",7.538159340723765
69,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",10.165545478737421
70,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",8.337402297430225
71,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",6.233251464169256
72,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",10.231583366352313
73,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",13.738891202524732
74,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",12.409715430702645
75,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",12.032998475292587
76,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",12.059032368144186
77,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",12.0153973928128
78,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",8.74903147905614
79,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",12.648436871321728
80,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",10.417503158317304
81,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",8.20483056467797
82,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",9.211640461697788
83,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",11.20173531684136
84,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",9.5309386894815
85,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",11.563701244895435
86,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",8.504318507079986
87,306.7849735344638,306.7849735344638,"[37, 59, 62, 180, 177, 0, 0]",6.785730796952214
88,305.70724309909076,305.70724309909076,"[37, 61, 62, 180, 177, 0, 0]",10.144146612178602
89,305.70724309909076,305.70724309909076,"[37, 61, 62, 180, 177, 0, 0]",11.355752417153104
90,305.70724309909076,305.70724309909076,"[37, 61, 62, 180, 177, 0, 0]",8.149026039911982
91,305.6730323658168,305.6730323658168,"[36, 61, 62, 180, 177, 0, 0]",11.333441184493074
92,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",10.111135949835687
93,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",13.864499587508606
94,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",14.617599073461479
95,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",9.717996686642728
96,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",9.05953781648543
97,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",13.111799057268396
98,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",10.987882442403052
99,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",7.5162304829916975
100,304.81761019218385,304.81761019218385,"[36, 62, 62, 180, 177, 0, 0]",8.557509142789623
