generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,45.456885518415966,45.456885518415966,"[42, 48, 78, 159, 146, 2, 0]",111.05796814572125
1,45.456885518415966,45.456885518415966,"[42, 48, 78, 159, 146, 2, 0]",113.0748195580239
2,45.375469078677966,45.375469078677966,"[55, 59, 78, 38, 34, 2, 0]",110.60731151859719
3,45.14977523194676,45.14977523194676,"[36, 45, 46, 179, 159, 0, 0]",114.31365721759194
4,38.69519072755507,38.69519072755507,"[36, 78, 67, 6, 6, 4, 0]",116.10065614136393
5,38.69519072755507,38.69519072755507,"[36, 78, 67, 6, 6, 4, 0]",121.4917247447967
6,34.77881283748918,34.77881283748918,"[52, 78, 67, 6, 6, 4, 0]",126.87043030163576
7,34.77881283748918,34.77881283748918,"[52, 78, 67, 6, 6, 4, 0]",127.78030920787803
8,33.44917580120335,33.44917580120335,"[52, 78, 73, 6, 6, 4, 0]",121.65938251908322
9,33.44917580120335,33.44917580120335,"[52, 78, 73, 6, 6, 4, 0]",119.55571875207293
10,33.44917580120335,33.44917580120335,"[52, 78, 73, 6, 6, 4, 0]",113.25504964715853
11,26.51722724547061,26.51722724547061,"[58, 89, 93, 13, 6, 7, 0]",117.0598734533934
12,26.51722724547061,26.51722724547061,"[58, 89, 93, 13, 6, 7, 0]",119.2686259704903
13,25.501441233269475,25.501441233269475,"[58, 89, 99, 13, 6, 7, 0]",124.51638637054121
14,25.501441233269475,25.501441233269475,"[58, 89, 99, 13, 6, 7, 0]",120.4566403291666
15,25.501441233269475,25.501441233269475,"[58, 89, 99, 13, 6, 7, 0]",117.51596859972467
16,23.56565513304743,23.56565513304743,"[39, 89, 99, 13, 6, 2, 0]",112.9386242168806
17,23.56565513304743,23.56565513304743,"[39, 89, 99, 13, 6, 2, 0]",107.92210245424647
18,23.49116521118411,23.49116521118411,"[39, 93, 99, 13, 6, 1, 0]",103.71239257012022
19,23.49116521118411,23.49116521118411,"[39, 93, 99, 13, 6, 1, 0]",108.50661083080237
20,23.49116521118411,23.49116521118411,"[39, 93, 99, 13, 6, 1, 0]",112.72122967958506
21,23.49116521118411,23.49116521118411,"[39, 93, 99, 13, 6, 1, 0]",116.03283736681382
22,23.49116521118411,23.49116521118411,"[39, 93, 99, 13, 6, 1, 0]",112.38281793672746
23,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",109.03776062017678
24,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",103.86603225014005
25,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",100.77768561485173
26,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",104.4048536133959
27,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",105.29717860575416
28,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",104.70334801675465
29,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",109.31820582040558
30,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",105.93796961578127
31,22.20238324626971,22.20238324626971,"[44, 89, 99, 13, 6, 4, 0]",105.41765545248198
32,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",99.75277417806996
33,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",105.60056671772193
34,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",100.77479773265009
35,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",104.93949138293631
36,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",98.49571160716317
37,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",100.93926662858047
38,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",99.47340655022626
39,21.926828842793846,21.926828842793846,"[44, 91, 99, 13, 6, 4, 0]",102.687513307433
