experiment,run,seed,generations,pop_size,best_fitness,best_chromosome,run_time_minutes
GA_Cuboid,1,1607,100,100,22.459607477916286,"[39, 219, 191, 180, 179, 3, 3]",50.45826313893
GA_Cuboid,2,3426,100,100,24.138130960874047,"[59, 209, 248, 6, 3, 9, 10]",50.20862749814987
GA_Cuboid,3,8437,100,100,23.202877101497673,"[53, 247, 248, 179, 177, 9, 9]",50.35310063362122
GA_Cuboid,4,1352,100,100,22.46943767373436,"[39, 143, 151, 178, 180, 1, 1]",50.05897372166316
GA_Cuboid,5,3655,100,100,23.28683413143964,"[48, 247, 140, 6, 0, 2, 9]",49.984595052401225
GA_Cuboid,6,6359,100,100,23.10046321172333,"[47, 247, 165, 179, 180, 6, 7]",49.7201230486234
