generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,295.6248604057411,295.6248604057411,"[33, 49, 38, 172, 166, 0, 0]",106.56241861691463
1,295.6248604057411,295.6248604057411,"[33, 49, 38, 172, 166, 0, 0]",105.86094768841393
2,295.6248604057411,295.6248604057411,"[33, 49, 38, 172, 166, 0, 0]",103.34656581104639
3,295.29781134205774,295.29781134205774,"[50, 28, 57, 125, 180, 0, 0]",104.3152438214517
4,294.9889623477997,294.9889623477997,"[45, 60, 36, 13, 48, 0, 0]",109.59917447146503
5,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",105.81329631503196
6,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",108.20879738304886
7,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",108.7536563459017
8,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",105.8912236880432
9,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",111.80224856997529
10,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",115.2951356015654
11,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",120.82448715173769
12,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",110.71417191066746
13,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",106.95738209070849
14,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",122.22784255289355
15,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",117.76115819489004
16,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",119.07390977701654
17,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",116.26643809730061
18,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",116.859439214968
19,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",110.65388447855395
20,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",114.6506871668692
21,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",119.72574481849063
22,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",121.09211602384471
23,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",116.24043625710578
24,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",116.88037963954041
25,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",118.26505762667024
26,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",116.37351671281351
27,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",117.45198210900028
28,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",118.79622349873769
29,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",107.53212874290467
30,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",108.1214188382547
31,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",119.0845624402557
32,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",114.79646030938557
33,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",114.24132544730108
34,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",110.75960972211749
35,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",108.75835052099819
36,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",113.38765847667233
37,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",113.61658968462534
38,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",115.49330781484046
39,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",109.38098212481918
40,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",103.65736624591864
41,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",114.71808516146719
42,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",109.07876556312966
43,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",105.77970702682055
44,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",113.76517674675853
45,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",111.53488064125474
46,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",105.8657816277671
47,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",95.66350131453943
48,232.92149708827623,232.92149708827623,"[37, 60, 58, 180, 180, 0, 0]",75.6107677332809
49,227.8024163244743,227.8024163244743,"[37, 60, 60, 180, 180, 0, 0]",107.70581165116563
50,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",95.84706382878095
51,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",93.57588187949588
52,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",82.97631999441275
53,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",75.17651727239715
54,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",62.53218061580829
55,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",40.29221007694582
56,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",59.361272481044665
57,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",49.795004164901385
58,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",26.531850354971453
59,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",46.39511957197395
60,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",24.10320820475667
61,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",57.174605772377134
62,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",9.478502789148992
63,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",23.02705605809791
64,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",52.28010626962155
65,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",25.785596981234505
66,227.08116783472633,227.08116783472633,"[41, 60, 60, 180, 180, 0, 0]",9.423618688879618
67,224.93024998851251,224.93024998851251,"[37, 61, 60, 180, 180, 0, 0]",22.33567231200559
68,224.93024998851251,224.93024998851251,"[37, 61, 60, 180, 180, 0, 0]",12.777939442866362
69,224.93024998851251,224.93024998851251,"[37, 61, 60, 180, 180, 0, 0]",35.76292589344023
70,224.93024998851251,224.93024998851251,"[37, 61, 60, 180, 180, 0, 0]",10.850802377087037
71,223.92359645831667,223.92359645831667,"[41, 61, 60, 180, 180, 0, 0]",32.595726061342226
72,223.92359645831667,223.92359645831667,"[41, 61, 60, 180, 180, 0, 0]",6.375590760419526
73,223.92359645831667,223.92359645831667,"[41, 61, 60, 180, 180, 0, 0]",17.41881130115111
74,223.92359645831667,223.92359645831667,"[41, 61, 60, 180, 180, 0, 0]",9.195134437321963
75,223.92359645831667,223.92359645831667,"[41, 61, 60, 180, 180, 0, 0]",26.627484759690116
76,223.92359645831667,223.92359645831667,"[41, 61, 60, 180, 180, 0, 0]",7.346527432890184
77,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",24.517981544629865
78,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",10.689234046603426
79,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",9.748172177852435
80,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",6.417156622071895
81,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",5.676018277298807
82,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",4.707817342756416
83,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",15.804347841190877
84,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",8.464538803650363
85,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",5.506397269498645
86,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",3.7562265672037953
87,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",6.611522624971498
88,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",5.62828213370084
89,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",6.025386888540777
90,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",7.8655288872857385
91,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",9.644810831628384
92,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",3.9083694006612855
93,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",3.872681087441394
94,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",6.923763672547724
95,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",6.115444260855157
96,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",8.735966498390987
97,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",9.027047359388433
98,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",6.521672858478139
99,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",4.958918024883488
100,223.90278414234106,223.90278414234106,"[39, 61, 60, 180, 180, 0, 0]",8.058570246341302
