generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,39.220546646419,39.220546646419,"[52, 111, 102, 170, 150, 7, 1]",169.44739718051665
1,37.342612704459015,37.342612704459015,"[34, 185, 131, 13, 3, 1, 10]",173.4319881041868
2,28.79141362908811,28.79141362908811,"[37, 158, 231, 8, 5, 7, 5]",177.6863226055058
3,28.79141362908811,28.79141362908811,"[37, 158, 231, 8, 5, 7, 5]",169.30414713009432
4,27.7446965011093,27.7446965011093,"[37, 157, 231, 8, 5, 6, 5]",181.70882071751373
5,27.7446965011093,27.7446965011093,"[37, 157, 231, 8, 5, 6, 5]",181.12005852031456
6,27.09827114399426,27.09827114399426,"[45, 135, 190, 170, 154, 8, 2]",179.32116511171358
7,27.09827114399426,27.09827114399426,"[45, 135, 190, 170, 154, 8, 2]",179.72183370049441
8,27.09827114399426,27.09827114399426,"[45, 135, 190, 170, 154, 8, 2]",175.4048782074025
9,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",183.54540993262742
10,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",187.68800754145
11,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",191.9430857737307
12,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",182.64401756661795
13,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",189.60487934258427
14,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",193.58464020183908
15,25.206501966520587,25.206501966520587,"[45, 135, 243, 8, 3, 9, 0]",190.81931724739275
16,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",193.77879502780632
17,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",189.6449135780977
18,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",191.9194632153035
19,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",184.41290884907903
20,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",184.91320793876397
21,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",187.88262632442098
22,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",177.29782387909464
23,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",194.65775431679631
24,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",187.43440092542443
25,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",193.16584008983585
26,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",188.9651655601278
27,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",183.68035825352894
28,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",187.3458878192693
29,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",195.2691407512197
30,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",199.43440435265376
31,24.029700477739524,24.029700477739524,"[53, 242, 153, 8, 3, 6, 9]",198.03442429674436
32,23.444858981968853,23.444858981968853,"[53, 242, 231, 8, 3, 9, 9]",204.50886878566504
33,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",206.79525197299367
34,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",211.08393668801497
35,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",194.44436995849978
36,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",204.07250295844628
37,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",189.52933804760343
38,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",190.99329565074197
39,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",197.1313253375703
40,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",194.87320305095088
41,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",197.67354120821673
42,22.923165459200067,22.923165459200067,"[53, 242, 243, 8, 3, 9, 9]",199.7571658478498
43,22.062925310080182,22.062925310080182,"[46, 242, 131, 8, 3, 3, 7]",180.6576926918246
44,22.062925310080182,22.062925310080182,"[46, 242, 131, 8, 3, 3, 7]",171.38920459744872
45,22.062925310080182,22.062925310080182,"[46, 242, 131, 8, 3, 3, 7]",163.9678625601584
46,22.010389145263844,22.010389145263844,"[41, 242, 131, 8, 3, 2, 0]",130.31351581163193
47,22.010389145263844,22.010389145263844,"[41, 242, 131, 8, 3, 2, 0]",94.44158469169867
48,22.010389145263844,22.010389145263844,"[41, 242, 131, 8, 3, 2, 0]",62.25863157280547
49,21.99786138169646,21.99786138169646,"[41, 135, 131, 8, 3, 2, 0]",105.70090635993719
50,21.99786138169646,21.99786138169646,"[41, 135, 131, 8, 3, 2, 0]",82.61606200645481
51,21.99786138169646,21.99786138169646,"[41, 135, 131, 8, 3, 2, 0]",78.63295905045138
52,21.99786138169646,21.99786138169646,"[41, 135, 131, 8, 3, 2, 0]",67.7305217342739
53,21.99786138169646,21.99786138169646,"[41, 135, 131, 8, 3, 2, 0]",64.66158460927235
54,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",62.60628289140197
55,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",53.09183237453394
56,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",64.54824299319552
57,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",38.300910668414204
58,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",32.47997155631322
59,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",32.48012520629849
60,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",43.20121951192456
61,21.942553985089653,21.942553985089653,"[41, 242, 131, 0, 3, 2, 0]",38.904234610360064
62,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",53.39373494760566
63,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",44.09091103698712
64,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",33.12153762539761
65,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",31.491549923610332
66,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",28.893721879559635
67,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",23.625155480574346
68,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",14.719482192873215
69,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",20.511856395810636
70,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",20.374123025418033
71,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",21.252960942665126
72,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",27.44197284309715
73,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",24.06198193936149
74,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",25.784573764315752
75,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",25.598101724980282
76,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",29.598905825027725
77,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",28.60703467263974
78,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",24.22617684563937
79,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",25.572994007168553
80,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",29.29838421667915
81,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",24.970001268523763
82,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",31.114237133149345
83,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",29.115176711615547
84,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",30.1004907958455
85,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",31.527873092426265
86,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",34.67940332769324
87,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",37.72410082894943
88,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",38.55528201678422
89,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",40.95743212904202
90,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",37.49001854625479
91,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",32.587428980199164
92,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",39.737541491159504
93,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",39.27347208135525
94,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",34.49914268597994
95,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",39.74646824762638
96,21.883246049882075,21.883246049882075,"[41, 135, 131, 0, 4, 2, 0]",42.00806803411824
97,21.542554614353474,21.542554614353474,"[41, 135, 133, 0, 4, 2, 0]",50.183517501648005
98,21.542554614353474,21.542554614353474,"[41, 135, 133, 0, 4, 2, 0]",47.14625983256493
99,21.542554614353474,21.542554614353474,"[41, 135, 133, 0, 4, 2, 0]",49.98185747998327
100,21.542554614353474,21.542554614353474,"[41, 135, 133, 0, 4, 2, 0]",51.71105616897344
