generation,best_fitness,current_min_fitness,best_chromosome,avg_fitness,std_fitness,diversity
0,57.722602293868086,57.722602293868086,[10 58 56 59  2  0  0],69.36066853561536,6.732904948559275,104.23669143753638
1,57.401674909975696,57.401674909975696,[10 58 37 17  2  0  0],67.89360526826805,7.505187977714155,95.39685461629031
2,54.32209634191023,54.32209634191023,[10 58 56 17  2  0  0],62.10404829907266,7.800316929358544,60.78941503501808
3,50.225110158148595,50.225110158148595,[22 56 37 17  2  0  0],60.729918821682624,6.826266033142917,59.14538374948518
4,50.225110158148595,50.225110158148595,[22 56 37 17  2  0  0],59.12025570833551,5.320097545438166,76.04742674586346
