generation,best_fitness,current_min_fitness,best_chromosome,avg_fitness,std_fitness,diversity
0,64.08889278441049,64.08889278441049,[10 43 59 66 52  9  0],72.12725050841343,4.517904530352731,124.38582071624057
1,64.08889278441049,64.08889278441049,[10 43 59 66 52  9  0],68.87863094435531,4.31767970358294,107.98683243561952
2,64.08889278441049,64.08889278441049,[10 43 59 66 52  9  0],68.819406638246,3.8293896552224465,87.62269462411138
3,63.6866187415826,63.6866187415826,[10 45 59 66 36  9  0],67.91107487885519,4.366546452973873,98.80926058880561
4,63.56847351287954,63.56847351287954,[ 53  43  59 121  52   9   0],66.14214723504327,2.700793455891911,68.63032884576981
