generation,best_fitness,current_min_fitness,best_chromosome,avg_fitness,std_fitness,diversity
0,67.46906060604832,67.46906060604832,[53 59 60 24 44  7  2],78.44521348593254,4.886560547800705,103.34400204164453
1,67.45706643020884,67.45706643020884,[18 46 53 67 39  0  1],76.70532643638994,4.675117298316434,105.43831328876121
2,66.11263200112103,66.11263200112103,[ 18  56  61 154  62   0   0],75.20512780129673,3.9230361166721095,96.24809883395292
3,62.07135060614556,62.07135060614556,[ 54  57  62 101 127   1   1],74.29813159789873,4.318825528729219,96.75525199453226
4,62.07135060614556,62.07135060614556,[ 54  57  62 101 127   1   1],74.06255458670432,5.00185316856272,108.95178733401274
5,60.563123530774035,60.563123530774035,[59 48 23 24 18  0  0],73.65641051875375,5.196947391687894,108.30956431762112
6,56.17316867499402,56.17316867499402,[ 59  51  62 146 144   0   1],71.69760285482793,6.026670741989554,111.45877160442906
7,55.03108552548565,55.03108552548565,[54 57 62 40 57  0  0],71.7159253391883,5.704470547628972,106.4904952059991
8,55.03108552548565,55.03108552548565,[54 57 62 40 57  0  0],72.65982306090113,6.655469770734979,115.95847947026408
9,54.27444063279535,54.27444063279535,[ 37  59  55 154 144   0   0],72.32016704865632,7.19223232274373,111.87852714587699
10,54.27444063279535,54.27444063279535,[ 37  59  55 154 144   0   0],72.56177689463178,6.876352565077411,110.40024093461157
11,51.115832467034124,51.115832467034124,[ 54  53  62 146 177   0   0],71.52734690113112,6.870551915224173,108.49510229761476
12,51.115832467034124,51.115832467034124,[ 54  53  62 146 177   0   0],70.01431098141511,6.738792546429196,110.88824819211773
13,51.115832467034124,51.115832467034124,[ 54  53  62 146 177   0   0],71.57793925087599,6.909824959250851,120.78396200274823
14,50.21248935886703,50.21248935886703,[ 54  53  62 173 177   0   0],72.23192342176776,8.053858209033432,122.84492148627024
15,50.21248935886703,50.21248935886703,[ 54  53  62 173 177   0   0],72.53783085395727,7.0782665837221606,115.38696856095362
16,50.21248935886703,50.21248935886703,[ 54  53  62 173 177   0   0],72.4562048452814,6.934545698379317,116.81978734353186
17,50.21248935886703,50.21248935886703,[ 54  53  62 173 177   0   0],71.31251186060176,6.604421443482472,118.24697956095731
18,50.21248935886703,50.21248935886703,[ 54  53  62 173 177   0   0],70.54168019814868,6.805442800379169,116.67678841449617
19,49.336483482215044,49.336483482215044,[ 54  59  62 173 160   0   0],70.80896632980063,7.4473632464743424,117.28365552296623
20,49.336483482215044,49.336483482215044,[ 54  59  62 173 160   0   0],71.93353532105047,6.995950753448297,114.57582833547968
21,49.336483482215044,49.336483482215044,[ 54  59  62 173 160   0   0],69.1985614138244,7.122982204854379,112.13626141278563
22,49.336483482215044,49.336483482215044,[ 54  59  62 173 160   0   0],69.261738183623,6.524012490800955,117.71020735786198
23,49.336483482215044,49.336483482215044,[ 54  59  62 173 160   0   0],68.5495215282541,7.330804117740067,112.03182827741007
24,49.33225203427506,49.33225203427506,[ 54  59  60 173 177   0   0],67.79460832417777,8.325296634690435,113.6030150608085
25,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],67.67097111899389,7.245950788057136,107.38904278057308
26,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],68.24187360804491,6.930592097332351,113.16131911355038
27,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],66.67177669869528,7.203595045675392,112.02650977027471
28,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],67.42692884479236,7.986603560510089,115.87065152385945
29,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],67.010017260215,6.838881218253654,106.84686722785456
30,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],66.18996273379362,6.873822790883953,104.61740253971665
31,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],64.7758165038525,7.084914840319984,106.82004451058556
32,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],66.194593185259,7.96221448156421,113.40165701966758
33,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],65.29898186939475,7.032418894509864,115.92831373036199
34,49.09172784321167,49.09172784321167,[54 59 62  8 12  0  0],64.62690198440936,6.454803098143185,110.26813553667719
35,49.05553550249326,49.05553550249326,[54 59 62  8  1  0  0],64.87301339888809,7.602564975830979,106.07824551455609
36,49.05553550249326,49.05553550249326,[54 59 62  8  1  0  0],65.93135146478011,7.855156029334434,107.46568451751348
