generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,41.63872806276625,41.63872806276625,"[52, 60, 82, 123, 173, 7, 0]",117.95620819730152
1,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",139.61138599510235
2,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",145.8987394331638
3,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",142.72935291132862
4,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",150.44331247348916
5,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",148.94288668180778
6,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",152.2119148960159
7,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",151.62140987297366
8,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",153.45529958682587
9,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",165.34606159893693
10,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",162.94405228277662
11,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",159.79371414669686
12,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",166.86292546268092
13,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",161.97037869803935
14,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",156.53371603500418
15,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",153.6517840160539
16,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",166.66493320085178
17,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",165.37145290393877
18,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",159.44328176763477
19,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",162.3094940648179
20,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",158.87514508697515
21,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",168.09237700211352
22,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",160.20599338011212
23,24.270093950985842,24.270093950985842,"[51, 109, 102, 168, 180, 7, 0]",158.1278557258446
24,23.9310266469791,23.9310266469791,"[49, 124, 102, 168, 177, 7, 0]",156.1963725106521
25,23.9310266469791,23.9310266469791,"[49, 124, 102, 168, 177, 7, 0]",160.9115545788803
26,23.9310266469791,23.9310266469791,"[49, 124, 102, 168, 177, 7, 0]",160.4525833992937
27,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",166.97740292226774
28,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",162.079779990852
29,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",163.76590161655977
30,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",157.61572164773023
31,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",169.80657726866735
32,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",156.23102935285954
33,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",161.5566452311829
34,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",166.04025454214167
35,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",161.59072567989367
36,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",162.8746091295021
37,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",167.68043947176344
38,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",162.80103675409578
39,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",166.2876431263272
40,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",164.1240049140138
41,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",165.91707331806796
42,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",169.5446255805981
43,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",168.20726141522667
44,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",153.50469613674858
45,23.9008749627368,23.9008749627368,"[49, 124, 102, 168, 180, 7, 0]",143.64489786664134
46,23.491142067572515,23.491142067572515,"[46, 124, 119, 168, 180, 7, 0]",119.50015296464368
47,23.111022693408806,23.111022693408806,"[46, 124, 123, 168, 180, 7, 0]",99.5136147825022
48,23.111022693408806,23.111022693408806,"[46, 124, 123, 168, 180, 7, 0]",73.39086277319669
49,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",102.36497539622563
50,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",76.92135219845137
51,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",51.56761594538558
52,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",35.85259562619301
53,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",62.79848580003523
54,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",34.109126178704244
55,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",17.45723599289769
56,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",35.56105510956903
57,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",14.659236173428464
58,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",45.07772750295716
59,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",20.795768691987533
60,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",11.869761630606671
61,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",40.83332071290922
62,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",13.177714038838225
63,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",6.442388362376015
64,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",22.73955018123278
65,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",6.362455084152305
66,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",3.655946341728649
67,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",25.71329924322358
68,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",7.970141998022442
69,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",4.961810852248337
70,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",12.649264344272332
71,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",9.258604026393858
72,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",6.755081273932733
73,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",7.902050085219037
74,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",8.975230775006183
75,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",15.727439714469373
76,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",8.400794985167437
77,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",6.881977779041071
78,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",10.373638654133842
79,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",5.339250001145427
80,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",11.362149070448456
81,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",16.61568409445209
82,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",10.087061326404536
83,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",9.615780914312158
84,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",10.878757690614638
85,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",7.292112452804562
86,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",10.226977257758003
87,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",1.4795028032568858
88,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",8.612072431345778
89,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",13.90883717927921
90,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",4.259070956244629
91,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",7.822355926315013
92,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",11.626582842937257
93,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",9.403426845910385
94,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",8.165530001233394
95,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",14.439267783083316
96,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",6.415507546223807
97,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",2.7954763709682102
98,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",5.058678298254968
99,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",10.702383587973658
100,23.00140923695173,23.00140923695173,"[46, 124, 124, 168, 180, 7, 0]",11.910871491777224
