generation,best_fitness,current_min_fitness,best_chromosome,avg_fitness,std_fitness,diversity
0,57.982389988844744,57.982389988844744,[59 57 54 49 72  0  0],76.94588335657353,5.131553795634539,103.68831579092382
1,57.982389988844744,57.982389988844744,[59 57 54 49 72  0  0],75.102458847688,5.5587642899181215,96.3607080959247
2,57.982389988844744,57.982389988844744,[59 57 54 49 72  0  0],74.53843613746467,4.844227445774424,104.11210036283711
3,50.98505892907711,50.98505892907711,[56 61 54 11 27  0  0],72.65206475361994,5.731246287701796,102.39657104095652
4,50.98505892907711,50.98505892907711,[56 61 54 11 27  0  0],72.223095551778,5.798682208822584,101.27889228840745
5,50.98505892907711,50.98505892907711,[56 61 54 11 27  0  0],73.54653558274148,5.5646786289120405,104.23660356582043
6,50.98505892907711,50.98505892907711,[56 61 54 11 27  0  0],73.79545684143687,5.291971356009494,104.71256790532733
7,50.98505892907711,50.98505892907711,[56 61 54 11 27  0  0],71.93146716946859,6.102751279912619,105.46276127239875
8,50.98505892907711,50.98505892907711,[56 61 54 11 27  0  0],70.07590414351671,5.575432711687316,103.65085608544183
9,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],69.84791272641253,7.1660340814818655,105.91728730803649
10,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],69.2879316272739,6.708387826622475,97.26167113766289
11,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],70.02063832156347,6.579924662054071,103.12214467266703
12,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],69.0126199956675,6.71637974391465,108.48119632662211
13,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],68.41723728681424,6.471059936146028,97.08943558377905
14,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],69.20007761851582,6.136099279620197,96.65885922558193
15,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],67.79568760227988,6.727752915642182,99.35666503588541
16,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],67.32822081186562,6.807972146680967,96.23831570970633
17,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],65.8630488886361,5.967093854399168,94.42900802865776
18,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],66.32677769543001,6.535459523897991,101.98747290485151
19,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],65.18922610813756,5.54377482536746,94.4700313512901
20,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],64.47116704430469,7.289842365182396,108.58570717635513
21,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],64.56534889243966,6.7652746824018735,106.22890728720797
22,49.98132559973259,49.98132559973259,[56 61 60 11 27  0  0],65.86941694007358,6.279345252093736,101.88084573402796
23,49.95977680923808,49.95977680923808,[ 59  61  60 156 169   0   0],66.92984369122081,7.059455546673267,106.84315428423531
24,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],66.93899894443503,6.784804978097706,101.98649406507586
25,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],64.87564273816395,6.820606491936903,106.41622233614837
26,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.37493638633195,6.120473440523902,104.71257756687
27,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],64.00273621223815,6.344222398727571,99.89754803717689
28,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],64.71295987486323,6.888537647180766,96.2735338086445
29,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.87910749052483,6.643264966333955,98.67704195289508
30,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],64.81322554484558,7.35937767317512,103.30785660005208
31,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],67.09846443806849,7.134011288288044,106.76337551065043
32,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.28066659753846,6.90273491599523,102.85087973629707
33,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.65295277960698,6.462665746975358,103.35159260247056
34,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.31909709097796,6.595044608260044,105.94816624329145
35,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],63.39366051226975,8.102855259850013,116.5964683717985
36,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.89352247068636,7.188646377471964,114.51277465447443
37,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],64.07138028273752,7.217785069456765,116.17317329436705
38,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],65.09350056571401,6.64233763547333,107.32027668113608
39,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],64.68351247053116,7.3932273267194475,108.08652705227637
40,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],60.92242425467496,6.528887688116458,103.98487624170848
41,49.20319730655696,49.20319730655696,[ 56  61  60 175 169   0   0],56.65292310157857,5.925744330414002,85.2711580976793
42,49.09442995401293,49.09442995401293,[ 55  61  60 175 169   0   0],54.42617196529828,5.433667212389653,66.40457214047322
43,49.09442995401293,49.09442995401293,[ 55  61  60 175 169   0   0],58.316975390748574,6.11543583410791,91.03318718473446
44,48.83217468064202,48.83217468064202,[ 56  61  62 175 169   0   0],54.98357767408492,5.830026210726161,59.37723439355068
45,48.83217468064202,48.83217468064202,[ 56  61  62 175 169   0   0],57.266100380591496,5.818511778666079,75.58986193387346
46,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],53.38072151872444,4.322066146928004,40.31627992953369
47,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],57.028174420694825,5.859222013620732,52.77559279328193
48,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],53.85816319265095,5.105116701684226,41.289862997603606
49,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],51.91286770023287,5.218920083059049,35.58540452425487
50,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],56.58291287522301,7.987381043587821,59.935435556058835
51,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],52.249273495471115,5.247817992577791,36.29498256648041
52,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],51.01602603297477,5.022159172598458,23.707784238266175
53,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],53.31682488304211,6.2192224145960315,42.75835061928559
54,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],50.51849636655184,4.549663037880474,23.126894989592426
55,48.17729239739229,48.17729239739229,[ 48  61  62 175 169   0   0],50.03183676275645,5.012366169426231,23.817189248826438
56,48.160102328249025,48.160102328249025,[ 47  61  62 175 169   0   0],49.45776814349256,4.478561804450064,12.47049078926749
57,48.160102328249025,48.160102328249025,[ 47  61  62 175 169   0   0],50.498493444928584,5.108942183950372,27.02837879734407
