generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,318.34265480688,318.34265480688,"[45, 49, 59, 107, 158, 1, 0]",99.60321501615257
1,316.70807534798837,316.70807534798837,"[57, 19, 58, 82, 154, 0, 0]",103.17802863113067
2,310.15335768100545,310.15335768100545,"[57, 19, 56, 127, 154, 0, 0]",107.14957994577762
3,310.15335768100545,310.15335768100545,"[57, 19, 56, 127, 154, 0, 0]",106.79861322755093
4,305.0220861389649,305.0220861389649,"[57, 55, 56, 165, 154, 0, 0]",100.23739564665739
5,301.46531658217054,301.46531658217054,"[48, 60, 55, 138, 170, 0, 0]",101.4294999688973
6,298.8102201926126,298.8102201926126,"[55, 33, 49, 69, 14, 0, 0]",109.08559974515646
7,296.78911999740205,296.78911999740205,"[57, 33, 56, 131, 178, 0, 0]",110.88100771878686
8,290.38867133088314,290.38867133088314,"[57, 33, 60, 127, 178, 0, 0]",105.81768073964614
9,290.38867133088314,290.38867133088314,"[57, 33, 60, 127, 178, 0, 0]",110.24914658925651
10,288.576712388831,288.576712388831,"[59, 60, 32, 8, 79, 0, 0]",99.44592031766616
11,288.576712388831,288.576712388831,"[59, 60, 32, 8, 79, 0, 0]",111.6022891683556
12,288.576712388831,288.576712388831,"[59, 60, 32, 8, 79, 0, 0]",109.2975441167831
13,288.576712388831,288.576712388831,"[59, 60, 32, 8, 79, 0, 0]",104.48940785377917
14,288.576712388831,288.576712388831,"[59, 60, 32, 8, 79, 0, 0]",109.09775793411325
15,276.05867501679086,276.05867501679086,"[47, 60, 56, 165, 178, 0, 0]",111.04428912585573
16,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",111.35062658316508
17,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",108.53371647039395
18,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",115.34728557698955
19,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",111.63757569011315
20,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",114.10033332794002
21,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",114.35964638065441
22,270.0102459434736,270.0102459434736,"[47, 60, 60, 165, 178, 0, 0]",109.43998002790214
23,269.74972832641447,269.74972832641447,"[30, 60, 56, 8, 14, 0, 0]",112.97228599665019
24,269.74972832641447,269.74972832641447,"[30, 60, 56, 8, 14, 0, 0]",114.38193065971893
25,269.74972832641447,269.74972832641447,"[30, 60, 56, 8, 14, 0, 0]",111.7579263932272
26,261.05363420915086,261.05363420915086,"[35, 60, 60, 8, 14, 0, 0]",108.77948545814851
27,261.05363420915086,261.05363420915086,"[35, 60, 60, 8, 14, 0, 0]",111.80425242311897
28,261.05363420915086,261.05363420915086,"[35, 60, 60, 8, 14, 0, 0]",107.63584815760785
29,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",112.11138837330043
30,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",106.16469801061137
31,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",105.30262376419181
32,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",97.9993977783098
33,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",107.72714764373015
34,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",108.85130191080734
35,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",105.29700995363116
36,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",102.507434486145
37,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",105.7324092863227
38,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",105.4941893330476
39,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",112.37685172977368
40,259.2318281672059,259.2318281672059,"[35, 60, 60, 165, 178, 0, 0]",111.05327458248304
41,254.65538214069565,254.65538214069565,"[35, 60, 60, 8, 10, 0, 0]",112.47268674771362
42,254.65538214069565,254.65538214069565,"[35, 60, 60, 8, 10, 0, 0]",117.2395375511557
43,254.65538214069565,254.65538214069565,"[35, 60, 60, 8, 10, 0, 0]",115.84013480492916
44,254.65538214069565,254.65538214069565,"[35, 60, 60, 8, 10, 0, 0]",122.15047772622918
45,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",121.21068063677268
46,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",107.43153062083951
47,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",110.68049761828091
48,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",63.943950213517304
49,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",24.845284076417954
50,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",70.54012349930683
51,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",24.862138310364738
52,254.04676384494837,254.04676384494837,"[40, 60, 60, 8, 10, 0, 0]",66.26716869111736
53,253.3913568771736,253.3913568771736,"[35, 60, 61, 8, 10, 0, 0]",23.509484921337993
54,253.3913568771736,253.3913568771736,"[35, 60, 61, 8, 10, 0, 0]",52.534998381633656
55,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",16.98195869650526
56,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",33.83411047574263
57,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",9.475853481230512
58,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",17.326309721562207
59,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",9.534536962894748
60,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",33.2009829516564
61,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",12.646579666524833
62,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",2.818041837560281
63,252.67389258718381,252.67389258718381,"[40, 60, 61, 8, 10, 0, 0]",12.21003072401359
64,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",7.9181193886702514
65,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",19.54266329090989
66,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",7.754135293698809
67,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",5.29029934868894
68,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",20.692009551074708
69,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",6.846422452884969
70,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",6.646492614931522
71,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",8.42991525350444
72,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",6.836762080967295
73,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",5.15782617348162
74,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",7.400933553193951
75,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",2.421860215069987
76,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",9.81090255376219
77,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",6.8674590006976395
78,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",10.933271752606737
79,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",5.070730031640798
80,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",8.348587405060444
81,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",6.550306639410632
82,242.7078084777586,242.7078084777586,"[40, 60, 61, 8, 3, 0, 0]",5.536503777311391
83,241.5424053774476,241.5424053774476,"[40, 60, 61, 8, 1, 0, 0]",7.006415619035107
84,241.5424053774476,241.5424053774476,"[40, 60, 61, 8, 1, 0, 0]",6.459422049258645
85,241.5424053774476,241.5424053774476,"[40, 60, 61, 8, 1, 0, 0]",9.523324297213048
86,229.21618302379304,229.21618302379304,"[40, 60, 61, 1, 3, 0, 0]",14.70498669106981
87,229.21618302379304,229.21618302379304,"[40, 60, 61, 1, 3, 0, 0]",8.282907366313768
88,229.21618302379304,229.21618302379304,"[40, 60, 61, 1, 3, 0, 0]",4.805112112802621
89,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",14.903982557652558
90,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",16.70386332810921
91,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",8.48666467107393
92,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",9.043553123354593
93,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",5.1370707307571575
94,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",8.46359185945288
95,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",14.772084256334518
96,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",7.848657826554139
97,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",7.116590970392965
98,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",7.1571772312730415
99,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",6.916444930602296
100,224.6809345117603,224.6809345117603,"[40, 60, 61, 1, 1, 0, 0]",9.324560150344531
