generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",105.72564929258368
1,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",109.40418152436818
2,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",115.61385963976434
3,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",107.88508707545436
4,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",108.83060887327905
5,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",108.22438646692392
6,302.292904642178,302.292904642178,"[48, 37, 46, 124, 171, 0, 0]",110.60958720168773
7,298.48939624940584,298.48939624940584,"[55, 43, 59, 69, 68, 0, 0]",113.51439178651745
8,298.0165774070044,298.0165774070044,"[55, 37, 59, 69, 68, 0, 0]",116.93125480665806
9,298.0165774070044,298.0165774070044,"[55, 37, 59, 69, 68, 0, 0]",115.12707805774338
10,298.0165774070044,298.0165774070044,"[55, 37, 59, 69, 68, 0, 0]",121.88231763204112
11,294.7126118767185,294.7126118767185,"[55, 37, 53, 69, 6, 0, 0]",114.6011235730399
12,294.7126118767185,294.7126118767185,"[55, 37, 53, 69, 6, 0, 0]",123.01521245482444
13,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",119.90907719470495
14,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",120.95132248392122
15,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",118.6855999723844
16,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",111.46919808799782
17,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",120.13159692195632
18,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",114.90341028764765
19,281.6361126066759,281.6361126066759,"[38, 38, 59, 7, 1, 0, 0]",114.26659110917113
20,247.70159483700945,247.70159483700945,"[38, 60, 59, 178, 171, 0, 0]",114.08856104269739
21,247.70159483700945,247.70159483700945,"[38, 60, 59, 178, 171, 0, 0]",120.12477810430605
22,247.70159483700945,247.70159483700945,"[38, 60, 59, 178, 171, 0, 0]",120.43848301242633
23,245.80215535646258,245.80215535646258,"[38, 60, 59, 8, 1, 0, 0]",126.18190890226147
24,245.80215535646258,245.80215535646258,"[38, 60, 59, 8, 1, 0, 0]",121.6483841972997
25,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",120.06352340580227
26,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",126.7794061459978
27,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",121.38607164050654
28,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",127.33522789740742
29,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",127.61475953251502
30,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",120.81362425683584
31,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",120.14934643198673
32,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",119.1864202359355
33,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",109.80689032725948
34,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",109.96856682907374
35,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",108.33273478324962
36,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",116.60331979698864
37,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",112.07275287781759
38,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",114.33504805048706
39,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",117.0074082058122
40,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",126.68690253210318
41,243.61139061700214,243.61139061700214,"[38, 60, 59, 7, 1, 0, 0]",117.12679622704553
42,241.88131397687832,241.88131397687832,"[38, 61, 59, 7, 1, 0, 0]",77.38439406600808
43,241.88131397687832,241.88131397687832,"[38, 61, 59, 7, 1, 0, 0]",39.60052529288408
44,241.88131397687832,241.88131397687832,"[38, 61, 59, 7, 1, 0, 0]",93.42184838913887
45,241.88131397687832,241.88131397687832,"[38, 61, 59, 7, 1, 0, 0]",37.37666289509576
46,241.88131397687832,241.88131397687832,"[38, 61, 59, 7, 1, 0, 0]",72.44158605908646
47,241.3532778077349,241.3532778077349,"[38, 60, 60, 7, 1, 0, 0]",35.50848917027551
48,241.3532778077349,241.3532778077349,"[38, 60, 60, 7, 1, 0, 0]",66.99540739579305
49,241.3532778077349,241.3532778077349,"[38, 60, 60, 7, 1, 0, 0]",30.06718405990802
50,241.3532778077349,241.3532778077349,"[38, 60, 60, 7, 1, 0, 0]",70.55116569454286
51,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",29.612146776626755
52,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",58.12965398824174
53,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",14.334485082251017
54,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",37.504855042820566
55,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",19.450649522712258
56,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",38.818829801639495
57,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",18.5971691908602
58,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",12.29302517546627
59,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",30.962129616520734
60,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",12.914661968586229
61,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",8.668871139352902
62,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",25.88140131581044
63,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",12.118975653856179
64,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",12.7986837477925
65,239.56830131227787,239.56830131227787,"[38, 61, 60, 7, 1, 0, 0]",2.542924875362918
