generation,best_fitness,current_min_fitness,best_chromosome,diversity
0,44.7775077820728,44.7775077820728,"[47, 208, 153, 14, 61, 2, 3]",170.4424489520215
1,31.175679195985545,31.175679195985545,"[35, 167, 180, 3, 6, 7, 1]",192.83678924095426
2,31.175679195985545,31.175679195985545,"[35, 167, 180, 3, 6, 7, 1]",200.55053094078968
3,31.175679195985545,31.175679195985545,"[35, 167, 180, 3, 6, 7, 1]",199.05588691689098
4,31.175679195985545,31.175679195985545,"[35, 167, 180, 3, 6, 7, 1]",194.81653910693672
5,31.175679195985545,31.175679195985545,"[35, 167, 180, 3, 6, 7, 1]",194.5883573179946
6,26.494934095813868,26.494934095813868,"[35, 153, 245, 170, 173, 3, 2]",206.74226171861233
7,26.494934095813868,26.494934095813868,"[35, 153, 245, 170, 173, 3, 2]",209.4347680839682
8,26.494934095813868,26.494934095813868,"[35, 153, 245, 170, 173, 3, 2]",217.94552147318996
9,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",217.2457871086396
10,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",221.5003208585374
11,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",220.39461564325595
12,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",213.39317046618729
13,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",217.92638626491942
14,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",222.2022510763284
15,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",218.4370647453224
16,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",208.9281781079004
17,26.191298494657435,26.191298494657435,"[35, 153, 180, 170, 179, 3, 2]",210.32045698696362
18,26.176585357745303,26.176585357745303,"[35, 153, 242, 170, 179, 3, 0]",216.75406624362088
19,26.176585357745303,26.176585357745303,"[35, 153, 242, 170, 179, 3, 0]",219.5804637473896
20,26.176585357745303,26.176585357745303,"[35, 153, 242, 170, 179, 3, 0]",207.3842841189863
21,26.176585357745303,26.176585357745303,"[35, 153, 242, 170, 179, 3, 0]",211.63601687847628
22,26.176585357745303,26.176585357745303,"[35, 153, 242, 170, 179, 3, 0]",210.18103434380092
23,26.176585357745303,26.176585357745303,"[35, 153, 242, 170, 179, 3, 0]",222.8620174500428
24,23.44005015555313,23.44005015555313,"[38, 231, 242, 170, 179, 3, 5]",222.06782805053192
25,23.399213280070732,23.399213280070732,"[38, 231, 242, 170, 179, 3, 4]",222.2605735473792
26,23.399213280070732,23.399213280070732,"[38, 231, 242, 170, 179, 3, 4]",222.6442040116601
27,23.290004928718037,23.290004928718037,"[38, 241, 217, 3, 6, 5, 0]",218.50601702062102
28,23.290004928718037,23.290004928718037,"[38, 241, 217, 3, 6, 5, 0]",202.8382276331766
29,23.290004928718037,23.290004928718037,"[38, 241, 217, 3, 6, 5, 0]",217.8874067834115
30,23.290004928718037,23.290004928718037,"[38, 241, 217, 3, 6, 5, 0]",226.31314706925951
31,23.176296223247782,23.176296223247782,"[38, 126, 242, 3, 6, 3, 0]",219.7054875854745
32,23.176296223247782,23.176296223247782,"[38, 126, 242, 3, 6, 3, 0]",226.8413349818649
33,23.176296223247782,23.176296223247782,"[38, 126, 242, 3, 6, 3, 0]",228.06631556080475
34,23.176296223247782,23.176296223247782,"[38, 126, 242, 3, 6, 3, 0]",230.90577083230514
35,23.176296223247782,23.176296223247782,"[38, 126, 242, 3, 6, 3, 0]",221.503554876714
