generation,best_fitness,current_min_fitness,best_chromosome,avg_fitness,std_fitness,diversity
0,66.62417901500496,66.62417901500496,[ 35  62  46 144 154   2   1],77.91563881016916,4.8944420309802155,97.87007998941849
1,59.93219293047977,59.93219293047977,[51 60 59 41 69  0  1],74.75617040941349,5.371042995167368,104.97105255428528
2,59.93219293047977,59.93219293047977,[51 60 59 41 69  0  1],73.52343174846555,5.018979618619935,102.24644498678353
3,59.93219293047977,59.93219293047977,[51 60 59 41 69  0  1],73.54048377029962,5.064440044955189,105.12583839743925
4,59.93219293047977,59.93219293047977,[51 60 59 41 69  0  1],74.05883828101146,4.942753932932725,109.86169864008525
5,59.93219293047977,59.93219293047977,[51 60 59 41 69  0  1],73.45692141541286,5.0634804816500605,105.48562686339258
6,56.61477687148431,56.61477687148431,[53 35 60 53 11  0  0],72.04153542491122,5.420012474154011,100.42767754898867
7,56.61477687148431,56.61477687148431,[53 35 60 53 11  0  0],72.79393042654651,5.183725524730645,102.62362925555931
8,56.61477687148431,56.61477687148431,[53 35 60 53 11  0  0],72.62577683812813,4.90407968794066,109.39691098222603
9,53.987872943017436,53.987872943017436,[51 61 60 41 46  0  0],71.89678748531672,5.373995838708373,107.89987869936493
10,53.987872943017436,53.987872943017436,[51 61 60 41 46  0  0],71.2384789740569,5.972605618757246,108.37698196042945
11,53.987872943017436,53.987872943017436,[51 61 60 41 46  0  0],70.26953969865642,5.501141514661708,106.11215334701464
12,49.38640308060303,49.38640308060303,[ 51  61  57 168 176   0   0],69.72802085835716,6.20967074543536,104.9780562140437
13,49.38640308060303,49.38640308060303,[ 51  61  57 168 176   0   0],68.58516278734267,6.341518561853009,101.15042786655623
14,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],68.34752529018787,6.7048996169805335,107.83267370244901
15,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],68.76064708196384,5.601822960861741,99.44839583698668
16,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],67.01517747069194,6.617052878636515,96.82889247231157
17,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],67.55199211150881,6.8745609385390996,102.31893500666772
18,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],67.51322051552684,6.257535554235713,97.18629973653222
19,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],65.94374981551304,6.799837469837099,98.0420945644506
20,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],65.70612442113242,7.7890852672574455,106.26708868439545
21,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],67.97532378167381,6.672679899757433,104.56154007198637
22,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],64.98281855605651,7.112826412965805,103.62383744122646
23,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],66.2015468151931,5.949882694828834,98.97051119620853
24,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],65.61546659882451,6.881415924945204,103.08433214336783
25,48.55428198201176,48.55428198201176,[ 51  61  61 168 176   0   0],65.51505139216697,7.398069509098808,108.08805074325038
26,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],65.88707418546727,6.952845304326301,109.26015962845025
27,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],65.24748278647297,6.975755813987255,104.61534703677707
28,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],62.661799789754376,6.011492919082166,106.01659787940785
29,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],62.79508290370822,7.250051218655391,106.3964090400356
30,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],64.69155817200873,6.439786516075366,104.15991107147183
31,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],65.43430679701369,6.76905894003114,105.23200871481637
32,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],65.67127674795508,6.897223025435492,100.84746137004846
33,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],66.34146263149988,6.484219101001623,107.61050448840636
34,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],64.29023496147464,7.647420942176983,111.26199331917334
35,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],66.00543474898026,6.562962960696384,111.73882666546926
36,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],64.97679579234715,8.026235399640383,112.65807116783911
37,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],65.56000788494103,6.7652067287767235,104.92992072475081
38,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],65.12501773982702,6.702350123186617,110.47672042622656
39,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],63.9817164666338,6.672984250752036,108.0320859813724
40,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],61.31046614265729,7.102730819625884,105.95778080211585
41,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],58.79217382184191,6.932877838538962,105.6436494835188
42,48.45315329760933,48.45315329760933,[ 51  61  61 180 176   0   0],55.042463424788465,6.040655318256972,83.45751426949187
43,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],52.3265329912333,6.047077764146798,50.501743303124165
44,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],57.342887743160624,7.766936463057529,76.95923019361915
45,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],51.99919888108349,5.040489555374695,41.48302431399917
46,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],55.99564056282527,5.932698580699214,61.40330142287977
47,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],52.2690015618988,4.730329402310904,39.41971684129377
48,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],55.74033379978988,6.192860104928926,57.99231786206208
49,48.38470536040285,48.38470536040285,[ 51  61  61 175 176   0   0],52.23113248423085,4.331941521463208,46.1835425785993
50,48.1830261745892,48.1830261745892,[ 51  61  62 175 176   0   0],50.851025684799566,3.9388200632447727,29.7557902036784
51,48.1830261745892,48.1830261745892,[ 51  61  62 175 176   0   0],53.34050574915805,5.364284410155452,46.64259615639391
52,48.1830261745892,48.1830261745892,[ 51  61  62 175 176   0   0],51.36301053512781,5.09949660117863,34.75092414745781
53,48.1830261745892,48.1830261745892,[ 51  61  62 175 176   0   0],50.96043431050936,5.7828385766528525,28.709756131327893
54,48.1830261745892,48.1830261745892,[ 51  61  62 175 176   0   0],49.5829985439985,4.151676495232796,16.628222330189093
55,48.1830261745892,48.1830261745892,[ 51  61  62 175 176   0   0],51.502364248153725,6.312736802192634,33.78553938857798
56,48.1491187457612,48.1491187457612,[ 47  61  62 180 170   0   0],49.90195650913988,4.8315167661591145,16.835947169351424
57,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],52.36242273882968,6.72199274896868,42.96519891913675
58,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.97416893154416,4.834791650123708,19.786613922745456
59,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.6762043271728,5.147071575727372,9.633975456529503
60,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],51.02089819620652,6.09039454265622,23.35140301749189
61,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.59726557011359,4.921564656105639,14.808318095577206
62,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.63744818545965,5.334078442406393,12.59138074606249
63,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.23970767755934,4.618242364326426,15.198452392839139
64,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.551577160229435,5.2624515664314595,7.737425501229915
65,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],51.791360313698945,7.765608648276263,24.85463356020419
66,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.828758911126414,5.605572778969787,10.627781675668498
67,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.53304114842192,5.3043253069461915,7.606950699963321
68,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.08595758850906,4.510196995589611,6.016231952519749
69,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],48.86354750368141,4.015595130556646,5.404889276792378
70,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.64655634416127,5.364828183325516,8.353641365322131
71,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.440853190431845,4.918231585027381,5.349826402136642
72,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.46753806684848,5.01310757274135,8.300560681197668
73,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.19598657323487,4.7888576973660095,7.758915342894239
74,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.250920340674924,4.911305080580134,7.331307900944592
75,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.176514189908495,4.520046981584349,8.974491074691084
76,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.347842950853654,5.074973970346039,10.975319155517239
77,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],48.917902209706554,4.172226432941187,8.287687490682531
78,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.19491745679763,4.612057118917959,9.703853809774904
79,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.029465264458565,4.533920172211921,3.96806604804893
80,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.111324283933165,4.5995171897501175,7.677044267131088
81,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.33400100470748,4.928133626250098,11.818754116179225
82,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.133496059196716,4.751580257151199,8.059049108568141
83,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],48.91375192456284,4.157711849140536,6.630173761183882
84,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.517533216521514,5.5068546366733555,10.844261773342543
85,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.237914600611724,4.613517495022542,9.734349749208448
86,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],48.938389133318886,4.2115319465416245,7.224041416533307
87,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.32251897462551,4.991993182689593,7.315796379698145
88,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.59560614306725,5.42431897216407,8.379853508365901
89,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.488780257257766,5.34331270512263,14.35880785249162
90,47.96331114243469,47.96331114243469,[ 47  61  62 175 176   0   0],49.340379276376865,5.0094845304601705,5.540351535315729
